Virus,Model,AUC-ROC,Accuracy,Precision,Recall,F1-Score,MCC
HCV,XGBoost,0.930749632533072,0.8630705394190872,0.8888888888888888,0.9107692307692308,0.8996960486322189,0.6846122209073532
HCV,MoLFormer,0.5878196962273395,0.7240663900414938,0.7152466367713004,0.9815384615384616,0.8274967574578469,0.3077280745915935
HCV,MolTRES,0.5761195492405685,0.6742738589211619,0.6742738589211619,1.0,0.80545229244114,0.0
HCV,Graphormer,0.5,0.6742738589211619,0.6742738589211619,1.0,0.80545229244114,0.0
HCV,SimSon,0.478500734933856,0.6804979253112033,0.6784968684759917,1.0,0.8084577114427861,0.113863551300791
HCV,MolE,0.4559137677609015,0.3257261410788382,0.0,0.0,0.0,0.0
Hepacivirus hominis,XGBoost,0.8941634241245137,0.8152350081037277,0.8455056179775281,0.8361111111111111,0.840782122905028,0.620776238073717
Hepacivirus hominis,MolTRES,0.56441850410722,0.5834683954619124,0.5834683954619124,1.0,0.736949846468782,0.0
Hepacivirus hominis,MoLFormer,0.5116731517509727,0.5834683954619124,0.5834683954619124,1.0,0.736949846468782,0.0
Hepacivirus hominis,Graphormer,0.5,0.5834683954619124,0.5834683954619124,1.0,0.736949846468782,0.0
Hepacivirus hominis,SimSon,0.5,0.5834683954619124,0.5834683954619124,1.0,0.736949846468782,0.0
Hepacivirus hominis,MolE,0.4958279290964115,0.4165316045380875,0.0,0.0,0.0,0.0
Hepatitis B virus,XGBoost,0.9098543468365954,0.8298368298368298,0.8037974683544303,0.7514792899408284,0.7767584097859327,0.6404786528131738
Hepatitis B virus,MolTRES,0.6140646335912608,0.6060606060606061,0.0,0.0,0.0,0.0
Hepatitis B virus,Graphormer,0.5,0.6060606060606061,0.0,0.0,0.0,0.0
Hepatitis B virus,SimSon,0.5,0.6060606060606061,0.0,0.0,0.0,0.0
Hepatitis B virus,MolE,0.3943104233045061,0.3939393939393939,0.3939393939393939,1.0,0.5652173913043478,0.0
Hepatitis B virus,MoLFormer,0.2924101046882111,0.6060606060606061,0.0,0.0,0.0,0.0
