Virus,Model AUC,Candidates,Top Score,Avg Score,Score > 0.8
HCV,0.9307,1000,0.9968439340591432,0.9627215601205826,1000
Hepacivirus hominis,0.8942,1000,0.9897391200065612,0.8964341081976891,1000
Hepatitis B virus,0.9099,1000,0.9818748831748962,0.9044298570752144,1000
Human immunodeficiency virus 1,0.8295,1000,0.9899410605430604,0.9031061716079712,1000
Human immunodeficiency virus type 1,0.8898,1000,0.9978669285774232,0.9617492846250534,1000
Influenza,0.8642,1000,0.9910919070243835,0.8957617548704148,1000
Influenza A virus,0.7705,882,0.8751522302627563,0.7426945915162698,47
Severe acute respiratory syndrome coronavirus 2,0.878,12,0.7799546718597412,0.7526488155126572,0
Zika virus,0.9316,1000,0.9932067394256592,0.9539332475662232,1000
dengue virus type 2,0.9145,1000,0.9933295845985411,0.9551473541259764,1000
