rank,coconut_id,smiles,xgboost_score,molecular_weight,logP,hbd,hba,rotatable_bonds,tpsa,lipinski_pass,veber_pass,num_aromatic_rings
5,CNP0219475.1,CC(C)(C)OC(=O)N[C@H]1CCCCCC=C[C@@H]2C[C@@]2(C(=O)NS(=O)(=O)C2CC2)NC(=O)[C@@H]2C[C@@H](OC(=O)C3=CC=C(C=O)C=C3)CN2C1=O,0.9942706823349,700.81,2.52,3,10,7,194.35,True,False,1
7,CNP0183666.1,CC(C)(C)OC(=O)N[C@H]1CCCCCC=C[C@@H]2C[C@@]2(C(=O)NS(=O)(=O)C2CC2)NC(=O)[C@@H]2C[C@@H](OC(=O)NC3=CC=CC=C3C=O)CN2C1=O,0.9927651286125184,715.83,2.91,4,10,7,206.38,True,False,1
8,CNP0356062.1,CC1=CN=C(C(=O)N[C@H]2CCCCCC=C[C@@H]3C[C@@]3(C(=O)NS(=O)(=O)C3CC3)NC(=O)[C@@H]3C[C@@H](OC4=NC5=CC=CC=C5C5=CC=CC=C45)CN3C2=O)C=N1,0.9913962483406068,765.89,3.64,3,10,7,189.65,True,False,4
9,CNP0551987.1,COC[C@H]1C[C@@H](C2=NC=C(C3=CC=C4C(=C3)COC3=CC5=C(C=CC6=C5NC([C@@H]5CC[C@H](C)N5C(=O)[C@@H](NC(=O)OC)C(C)C)=N6)C=C34)N2)N(C(=O)[C@H](NC(=O)OC)C2=CC=CC=C2)C1,0.9906244874000548,883.02,7.73,4,10,11,193.1,False,False,6
10,CNP0051950.1,COC1=CC=C(C2=CC=C3NC(=O)[C@@H]4C[C@@H](NS(C)(=O)=O)CCN4C(=O)C3=C2)C(OC)=C1,0.9893521666526794,459.52,1.85,2,6,5,114.04,True,True,2
11,CNP0061598.1,COC1=CC=C(C2=CC=C3NC(=O)[C@@H]4C[C@@H](NS(=O)(=O)C5=CC=CS5)CCN4C(=O)C3=C2)C=C1,0.98848956823349,497.6,3.33,2,6,5,104.81,True,True,3
14,CNP0109586.1,CC[C@H](C)CC(=O)N[C@@H](CC)C(=O)N[C@H]1CCCNC(=O)[C@H](CC2=C(Br)NC3=CC=C(O)C=C23)NC(=O)/C=C/C2=COC(=N2)[C@H](C)NC(=O)C(=O)[C@H](CC(C)C)NC(=O)[C@@H]2CCCN2C1=O,0.9870195388793944,980.96,3.36,8,11,11,274.03,False,False,3
15,CNP0497979.1,COC(=O)N[C@H](C(=O)N1[C@H](C2=NC3=CC(C4=CC5=CC=C4CCC4=CC=C(CC5)C(C5=CC=C6NC([C@@H]7C[C@@H]8CCCC[C@@H]8N7C(=O)[C@@H](NC(=O)OC)C(C)C)=NC6=C5)=C4)=CC=C3N2)C[C@@H]2CCCC[C@@H]21)C(C)C,0.9869164228439332,1001.29,11.08,4,8,10,174.64,False,False,6
16,CNP0587744.1,CNC(=N)N[C@H]1C[C@@H]2CC[C@]3(C4=CC=C(N)N=C4)[C@H](CCO)CCC4=C(C1=C(O)C1=C4C(=O)C4=C(CO)C(OC)=CC(O[C@@H]5O[C@](O)(CO)[C@](O)(C[C@H](CN6C(=O)C=CC6=O)C6=CC=NC(N)=C6)[C@H](O)[C@H]5O)=C4C1=O)[C@H]23,0.9868205189704896,1049.1,0.16,13,20,14,386.78,False,False,4
17,CNP0310387.0,CCC(C)CC(=O)NC(CC)C(=O)NC1CCCNC(=O)C(CC2=C(Br)NC3=CC=C(O)C=C23)NC(=O)C=CC2=COC(=N2)C(CC)NC(=O)C(=O)C(CC(C)C)NC(=O)C2CCCN2C1=O,0.9866703152656556,994.99,3.75,8,11,12,274.03,False,False,3
