rank,coconut_id,smiles,xgboost_score,molecular_weight,logP,hbd,hba,rotatable_bonds,tpsa,lipinski_pass,veber_pass,num_aromatic_rings
6,CNP0522204.0,CCOC1CC(C2=NC3=C(C=CC4=CC5=C(C=C43)OCC3=CC(C4=CN=C(C6CCCN6C(=O)C(NC(=O)OC)C(C)C)N4)=CC=C35)N2)N(C(=O)C(NC(=O)OC)C(C)C)C1,0.9831277132034302,834.98,6.77,4,10,11,193.1,False,False,5
7,CNP0356062.1,CC1=CN=C(C(=O)N[C@H]2CCCCCC=C[C@@H]3C[C@@]3(C(=O)NS(=O)(=O)C3CC3)NC(=O)[C@@H]3C[C@@H](OC4=NC5=CC=CC=C5C5=CC=CC=C45)CN3C2=O)C=N1,0.983078956604004,765.89,3.64,3,10,7,189.65,True,False,4
9,CNP0551987.1,COC[C@H]1C[C@@H](C2=NC=C(C3=CC=C4C(=C3)COC3=CC5=C(C=CC6=C5NC([C@@H]5CC[C@H](C)N5C(=O)[C@@H](NC(=O)OC)C(C)C)=N6)C=C34)N2)N(C(=O)[C@H](NC(=O)OC)C2=CC=CC=C2)C1,0.9826827049255372,883.02,7.73,4,10,11,193.1,False,False,6
17,CNP0147425.1,COC1=CC2=C(C=C1O)C1=C[C@H]3C[C@]4(CC[C@](CN5C(C6=CC=CC(O)=C6)=CC6=C5C=CN6)(NC[C@H](C)O)C4)[C@@H]4C[C@H](O)CC[C@@H]4[C@@H]3[C@@H]2CC(=O)C[C@@H]([C@H](O)CC2=CC=C(O)C(OCCO)=C2)OC(=O)CC#CCC2=C1NC1=CC=CC=C21,0.9689661264419556,1127.34,8.95,10,14,13,251.98,False,False,7
18,CNP0089560.1,COC1=CC2=C(C=C1O)C1=C[C@H]3C[C@]4(CC[C@@](CN5C=CC6=C5C=CN6)(NC[C@H](C)O)C4)[C@H]4C[C@@H](O)CC[C@@H]4[C@@H]3[C@H]2CC(=O)C[C@@H]([C@H](O)CC2=CC=C(O)C(OCCO)=C2)OC(=O)CC#CCC2=C1NC1=CC=CC=C21,0.9662696123123168,1035.25,7.58,9,13,12,231.75,False,False,6
19,CNP0385580.1,C=C(C)OC(=O)N[C@@H]1C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@]2(C(=O)NS(=O)(=O)C3CC3)C[C@H]2C=CCCCO[C@@H]1C,0.963527262210846,568.65,-0.18,4,9,5,180.44,True,False,0
20,CNP0491753.1,COC(=O)N[C@H](C(=O)N1[C@H](C2=NC3=CC=C(C4=CC5=CC=C4CCC4=CC=C(CC5)C(C5=CC=C6N=C([C@@H]7C[C@@H]8CCCC[C@@H]8N7C(=O)[C@@H](NC(=O)OC)C(C)C)NC6=C5)=C4)C=C3N2)C[C@@H]2CCCC[C@@H]21)C(C)C,0.9633183479309082,1001.29,11.08,4,8,10,174.64,False,False,6
22,CNP0417418.1,CNCC1=C[C@H](C2=CC=CC=C2)[C@H]2C[C@@]3(C[C@@H]1N2)C[C@@H](C1=CC=C(CCC2=C(O)C(O)=C4C(O)=CC=CC4=C2/C=C/C2=CC=C(O)C(O)=C2)C=C1)N[C@@H]1[C@H]3C[C@@H]2CCC[C@@]23CC[C@]24CCC[C@@H]2C=C[C@@H](O)[C@H]4[C@]13C1=CNC=N1,0.9610033631324768,1046.37,11.37,10,10,10,186.15,False,False,6
23,CNP0408921.1,CCC1=CNC=C1CCNCC1=C[C@H](C2=CC=CC=C2)[C@H]2C[C@@]3(C[C@@H]1N2)C[C@H](C1=CC=C(CCC2=C(O)C(O)=C4C(O)=CC=CC4=C2/C=C/C2=CC=C(O)C(O)=C2)C=C1)N[C@H]1[C@@H]3C[C@H]2CCC[C@@]23CC[C@@]24CCC[C@@H]2C=C[C@@H](O)[C@@H]4[C@@]13C1=CNC=N1,0.95905864238739,1153.52,12.87,11,10,14,201.94,False,False,7
25,CNP0267602.1,COC(=O)C[C@](O)(CCCC(C)(C)O)C(=O)O[C@@H]1C(OC)=C[C@]23C[C@@H]([C@@H]4CC[C@]56C=C(OC)[C@@H](OC(=O)[C@@](O)(CCC(C)C)CC(=O)OC)[C@H]5C5=CC7=C(C=C5CCN46)OCO7)C(=O)N2CCC2=CC4=C(C=C2[C@H]13)OCO4,0.9584283828735352,1073.2,4.79,3,19,18,244.82,False,False,2
