rank,coconut_id,smiles,xgboost_score,molecular_weight,logP,hbd,hba,rotatable_bonds,tpsa,lipinski_pass,veber_pass,num_aromatic_rings
3,CNP0500786.1,CC(C)(C)S(=O)(=O)C[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CN=CN1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)C1CC1,0.9967964291572572,630.85,3.1,5,7,15,161.48,True,False,2
4,CNP0074906.1,CC1=NC(COC2=CC=C(C[C@H](NC(=O)O[C@H]3CO[C@H]4OCC[C@H]43)[C@H](O)CN(CC(C)C)S(=O)(=O)C3=CC=C4OCOC4=C3)C=C2)=CS1,0.9955305457115172,703.84,3.87,2,12,14,154.98,False,False,3
7,CNP0008875.1,C/C=C(/CNCC)C(=O)O[C@@H]1CC2=C(O[C@@]1(C)CCC1=CC=C(N)N=C1)C([C@H](CC1=CC=CC(O)=C1)C1=CC=NC(N)=C1)=C1OC(CO)=CC(=O)C1=C2O,0.9944614171981812,735.84,4.82,6,13,13,216.28,False,False,5
9,CNP0008525.1,C/C=C(/C)C(=O)O[C@@H]1CC2=C(O[C@@]1(C)CCC1=CC=C(NCC)N=C1)C([C@H](CC1=CC=CC(O)=C1)C1=CC=NC(N)=C1)=C1OC(CO)=CC(=O)C1=C2O,0.9934033751487732,720.82,6.08,5,12,12,190.26,False,False,5
10,CNP0008866.1,C/C=C(/CCNC)C(=O)O[C@@H]1CC2=C(O[C@@]1(C)CCC1=CC=C(N)N=C1)C([C@H](CC1=CC=CC(O)=C1)C1=CC=NC(N)=C1)=C1OC(CO)=CC(=O)C1=C2O,0.9931206107139589,735.84,4.82,6,13,13,216.28,False,False,5
11,CNP0483060.1,CCC1=NC2=C(C=C1[C@@H]1C=C3[C@H]4CC[C@@H](O)C(=O)C[C@@H](CO)C[C@]56OC(=O)[C@@]7(CC#C[C@](C(=O)O)(O5)C(O)(O)[C@H](O)[C@H]6O)O[C@]3(OC3=CC5=C(C(O)=C31)C(=O)C=C(C1=CC(O)=C(O)C(CCO)=C1)O5)[C@H](O)[C@@H](O)[C@@]7(O)CC#CC1=C4NC=C1)[C@H]1CCC[C@H](C1)N2,0.9929444193840028,1244.22,0.77,16,24,7,442.27,False,False,5
13,CNP0502120.1,C[C@H](CCC/C=C/C(=O)CCC1=CC=C(O)C(OCCC2=CC=C(O)C([C@@H]3CC(=O)C4C=CN=C4CC#CC4=CC5=C(C=CN[C@@H]5N)C=C43)=C2)=C1)CCC1=CC=CC=C1CCO,0.9928485155105592,832.05,8.71,5,9,18,154.47,False,False,4
14,CNP0008874.1,C/C=C(\C(=O)O[C@@H]1CC2=C(O[C@@]1(C)CCC1=CC=C(N)N=C1)C([C@H](CC1=CC=CC(O)=C1)C1=CC=NC(N)=C1)=C1OC(CO)=CC(=O)C1=C2O)C1CCCC1,0.9926950931549072,746.86,6.4,5,12,11,204.25,False,False,5
16,CNP0250243.1,C/C=C(/C)C(=O)O[C@@H]1CC2=C(O[C@@]1(C)CCC1=CC=C(N)N=C1)C([C@@H]1C3=CC=NC(N)=C3C=C[C@@]1(CO)C1=CC=CC(O)=C1)=C1OC(CO)=CC(=O)C1=C2O,0.9922592043876648,746.82,4.94,6,13,9,224.48,False,False,5
17,CNP0008227.1,C/C=C(/C)C(=O)O[C@@H]1CC2=C(O[C@@]1(C)CCC1=CC=C(N)N=C1)C([C@H](CC1=CC=CC(O)=C1)C1=CC=NC(N)=C1)=C1OC(CO)=CC(=O)C1=C2O,0.99225252866745,692.77,5.23,5,12,10,204.25,False,False,5
18,CNP0206567.1,CCN[C@@H]1C=C2C=CC[C@@H]3CCCC[C@](C)(CC4=CC=C(N)N=C4)CC4=CC=CC5=C4C(=O)[C@]4(O[C@@]4(C/C=C(\C)C[C@]4(C6=CC=NC(NCNC)=C6)CCCN=C(NC)N4)C5=O)C(=O)OC[C@@H]1C[C@H]23,0.9919424057006836,938.23,7.14,6,14,12,197.28,False,False,3
19,CNP0137614.1,C/C=C(/CO)C(=O)O[C@@H]1CC2=C(O[C@@]1(C)CCC1=CC=C(N)N=C1)C([C@H](CC1=CC=CC(O)=C1)C1=CC=NC(N)=C1)=C1OC(CO)=CC(=O)C1=C2O,0.9918312430381776,708.77,4.2,6,13,11,224.48,False,False,5
21,CNP0397316.1,CCN[C@H]1C=C2C=CC[C@@H]3CCCC[C@](C)(CC4=CC=C(N)N=C4)CC4=CC=CC5=C4C(=O)[C@]4(O[C@@]4(C/C=C(\C)C4([C@@]6(C7=CC=NC(NCNC)=C7)CCCN=C(NC)N6)CCCC4)C5=O)C(=O)OC[C@@H]1C[C@H]23,0.9916714429855348,992.32,8.31,6,14,12,197.28,False,False,3
22,CNP0091513.1,C[C@@H]1C=C[C@H]([C@@H](O)CC(=O)CCC2=CC=C3OC#CC4(CCCC4)[C@@H]4C#C[C@@H](O)C5=CC=C6C(=C5CC5=CNC7=CN(C=C57)C4OC3=C2)C=CN[C@@H]6N)[C@@H](O)C1,0.991449773311615,752.91,6.08,6,9,6,154.99,False,False,4
24,CNP0098715.1,C[C@H]1C=C[C@H]([C@@H](O)CC(=O)CCC2=CC=C3OC#CC4(CCCC4)[C@H]4C#C[C@H](O)C5=CC=C6C(=C5CC5=CNC7=CN(C=C57)C4OC3=C2)C=CN[C@@H]6N)CC1,0.9910110235214232,736.91,7.1,5,8,6,134.76,False,True,4
25,CNP0385865.1,C/C=C(\C)C(=O)OC(C)(C)[C@]1(CC2=CC(N)=NC=C2CC(=O)N2C[C@H](CNC)[C@H]2CCC(C)C)CC2=CC3=C(C=C2O1)OC(=O)C=C3,0.9907743334770204,644.81,5.0,2,9,12,136.99,True,False,3
26,CNP0089248.1,CCC[C@H](O)C[C@@H](O)CC(=O)CCC1=CC=C2OC#CC3(CCCC3)[C@H]3C#C[C@H](O)C4=CC=C5C(=C4CC4=CNC6=CN(C=C46)C3OC2=C1)C=CN[C@@H]5N,0.9899017810821532,728.89,6.05,6,9,9,154.99,False,False,4
27,CNP0195855.1,CCCCC[C@H]1C#CO[C@@H](C[C@H]2C=C(O)C=C[C@H]2CCCCC2=CC=CC(N[C@H](CC3=CC=CC=C3)[C@H](C)O)=C2)CC(=O)CCC2=CC=C(OC)C(=C2)OCC2=C(CO)C=C3C1=C(O)C=C1C3=C2C=C[C@@H]1C,0.9898582100868224,972.28,13.12,5,9,18,137.71,False,False,5
29,CNP0592274.1,CCC1=NC2=C(C=C1[C@@H]1C=C3[C@H]4CC[C@@H](O)C(=O)C[C@@H](CO)C[C@]56OC(=O)[C@@]7(CC#C[C@](C(=O)O)(O5)C(O)(O)[C@H](O)[C@H]6O)O[C@]3(OC3=CC5=C(C(O)=C31)C(=O)C=C(C1=CC(O)=C(O)C(CCO)=C1)O5)[C@H](O)[C@@H](O)[C@@]7(O)CC#CC1=C4NC=C1)[C@H]1CC=C[C@H](C1)N2,0.9896983504295348,1242.21,0.55,16,24,7,442.27,False,False,5
30,CNP0132839.1,CCC[C@H](O)C[C@@H](O)CC(=O)CCC1=CC2=C(C=C1O)OC#CC1(CCCC1)[C@H]1C#C[C@H](O)C3=CC=C4C(=C3CC3=CNC5=CN(C=C35)C1O2)C=CN[C@@H]4N,0.9895423650741576,744.89,5.76,7,10,9,175.22,False,False,4
32,CNP0456354.0,O=C(NC1=S=CC=N1)C1=CC=CC(CN2C(=O)N(CC3=CC=CC(C(=O)NC4=S=CC=N4)=C3)C(CC3=CC=CC=C3)C(O)C(O)C2CC2=CC=CC=C2)=C1,0.98940908908844,758.93,3.94,4,7,10,146.93,True,False,4
