rank,coconut_id,smiles,xgboost_score,molecular_weight,logP,hbd,hba,rotatable_bonds,tpsa,lipinski_pass,veber_pass,num_aromatic_rings
2,CNP0337075.0,CNC(=N)NCCCC=CCCCC(C)C1CC(=O)C=CC=CC(C)C(O)CC(O)C(C)C(O)CCC(C)C(O)CC(O)(OC)C(O)C(O)CCCC(OC(=O)CC(=O)O)CC(O)CC(O)CC(O)C(C)=CC=CC1C,0.8706620931625366,1082.42,4.49,14,16,13,340.11,False,False,0
4,CNP0457745.1,COC1=C2OC[C@@H](CO)CC3=CC=C(C=C3N=C(N)N)[C@@]34C[C@@]56C[C@H]7CCC8=CC=CC9=CC%10=CC=C(C%11=C[C@@H]5[C@@H]3C#C[C@@H]3CC[C@@H]5CC[C@@]3(CC%11)[C@]5(C)C3=CC5=C(N3)N3CCN[C@@H](C#C[C@@H](CC%11=CC5=CC=C%11)C2=C2OC(C5=CC=C(O)C=C5)=CC(=O)C2=C1OCC[C@@H](O)/C=C/C1=CC=CC=C1)[C@@H]34)C6=C%10C7=C89,0.8525152802467346,1429.77,15.47,7,11,10,214.05,False,False,10
5,CNP0337185.0,C=CCC(C)C(C)CC(O)C(O)C1CCC2(C)OC3(C)CC4(C)OC5C=CCC6OC7CC8OC9CC%10(C)OC(C)(C%11CCC%12OC%13(C)CC%14OC%15(C)CC%16OC%17(C)CC(O)C(C%18OC%19C(CC%18O)OCC(O)C%19O)OC%17C(O)C%16(C)OC%15CCC%14(C)OC%13CC%12O%11)C(O)CC%10OC9(C)CCC8(C)OC7(C)CC6OC5CC4OC3CC2O1,0.8444873690605164,1654.08,7.14,8,27,9,337.21,False,False,0
6,CNP0003120.1,CC1=CC[C@H](O)C(C)(C)[C@@H]1CC/C(C)=C/CCC1=C(C)CC[C@@]2(C)CCC(C)(C)C[C@@H]12,0.8426162600517273,426.73,8.79,1,1,6,20.23,True,True,0
7,CNP0122825.1,CNC(=N)NCCNC[C@H](C[C@@H](C1=CNC=N1)[C@H]1NC(=O)C2(CCCC2)[C@@H]1C[C@@H]1[C@@H](O)[C@@H](O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@@](C)(CO)[C@H]2CC[C@]3(C)[C@H](CC=C4[C@@H]5C[C@@](C)(CO)CC[C@]5(C(=O)O)CC[C@]43C)[C@@]12C)[C@@H](N)O,0.84092777967453,1069.4,2.03,15,15,17,341.11,False,False,1
8,CNP0018581.0,CC(C)C1NC(=O)C(CCCNC(=N)N)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(NC(=O)C(CC2=CNC3=CC=CC=C23)NC(=O)C(CCCNC(=N)N)NC(=O)C(N)CCCNC(=N)N)CSSCC(C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(CCCCN)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC2=CC=C(O)C=C2)NC(=O)C2CSSCC(NC1=O)C(=O)NC(CC1=CC=C(O)C=C1)C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CC1=CC=C(O)C=C1)C(=O)N2,0.8385258913040161,2470.0,-7.36,42,33,48,1037.71,False,False,6
9,CNP0018582.0,CC(C)C1NC(=O)C(CCCNC(=N)N)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(NC(=O)C(CC2=CNC3=CC=CC=C23)NC(=O)C(CCCNC(=N)N)NC(=O)C(N)CCCNC(=N)N)CSSCC(C(=O)NC(CCCNC(=N)N)C(N)=O)NC(=O)C(CCCCN)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC2=CC=C(O)C=C2)NC(=O)C2CSSCC(NC1=O)C(=O)NC(CC1=CC=C(O)C=C1)C(=O)NC(CCCCN)C(=O)NCC(=O)NC(CC1=CC=C(O)C=C1)C(=O)N2,0.8385258913040161,2441.98,-6.5,40,33,48,1001.83,False,False,6
10,CNP0489579.0,CC1=CC=CC(C)C(C(C)CCCC=CCCCN[C+]([NH-])N)OC(=[O+])C=CC=CC(C)C(O)CC(O)C(C)C(O)CCC(C)C(O)CC2(O)OC(CC(OC(=[O+])CC(=O)O)CC(O)CC(O)CC1O)CC(O)C2O,0.8383951783180237,1054.33,3.49,13,18,13,368.94,False,False,0
11,CNP0100051.1,C[C@]1(CO)CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)[C@H](C[C@H]6[C@H]([C@H](CCCN)C7=CNC=N7)NC(=O)[C@@H]6CCO)[C@@H](O)[C@@H](O[C@@H]6OC[C@@H](O)[C@H](O)[C@H]6O)[C@@](C)(CO)[C@H]5CC[C@]43C)[C@@H]2C1,0.8382254242897034,915.18,2.59,11,13,14,281.17,False,False,1
12,CNP0018580.0,CCC(C)C1NC(=O)CNC(=O)C(CCCNC(=N)N)NC(=O)C(CC2=CC=C(O)C=C2)NC(=O)C2CSSCC(NC1=O)C(=O)NC(CC1=CC=C(O)C=C1)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)NC(C(=O)NC(CCCNC(=N)N)C(C)=O)CSSCC(NC(=O)C(CC1=CNC3=CC=CC=C13)NC(=O)C(N)CCCNC(=N)N)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCCNC(=N)N)C(=O)NC(C(C)C)C(=O)N2,0.8364306092262268,2262.8,-4.91,36,30,42,900.46,False,False,5
