rank,coconut_id,smiles,xgboost_score,molecular_weight,logP,hbd,hba,rotatable_bonds,tpsa,lipinski_pass,veber_pass,num_aromatic_rings
1,CNP0003789.1,COC[C@H]1CCCN1C[C@H]1CN2CC[C@H]1C[C@@H]2CNS(=O)(=O)C1=CC=C(OC)C=C1,0.9932067394256592,437.61,1.79,1,6,9,71.11,True,True,1
2,CNP0497123.0,CN1C=C(C2=CC3=CC=CN=C3N2)C2=CC(C(=O)NC(C)(C)CO)=CC=C21,0.9897689819335938,362.43,3.22,3,4,4,82.94,True,True,4
3,CNP0004113.1,COC[C@H]1CCCN1C[C@H]1CN2CC[C@H]1C[C@@H]2CNS(=O)(=O)C1=CC=C(Cl)C=C1,0.9888338446617126,442.03,2.44,1,5,8,61.88,True,True,1
4,CNP0004554.1,COC[C@H]1CCCN1C[C@H]1CN2CC[C@H]1C[C@@H]2CNC(=S)NCC1=CC=CO1,0.9879170060157776,406.6,2.06,2,5,8,52.91,True,True,1
5,CNP0359724.0,CNC(=O)C1=CN(C)C(C2=NC3=CC(N)=CC=C3N2C)=C1OC,0.987870156764984,313.36,1.53,2,6,3,87.1,True,True,3
6,CNP0395075.0,COC1=CC=CC(C(=O)NC2=CC(C)=NC3=C(OC)C=CC=C23)=C1,0.9875574111938475,322.36,3.81,1,4,4,60.45,True,True,3
7,CNP0466028.1,COC[C@H]1CCCN1C[C@H]1C[N@]2CC[C@H]1C[C@@H]2CNC(=O)C1=CC=CC=C1,0.9855166077613832,371.53,2.24,1,4,7,44.81,True,True,1
8,CNP0012164.1,C#CCN(C)C[C@H]1C[N@]2CC[C@H]1C[C@@H]2CNS(=O)(=O)C1=CC=C(OC)C=C1,0.9854060411453248,391.54,1.25,1,5,8,61.88,True,True,1
9,CNP0012164.2,C#CCN(C)C[C@H]1CN2CC[C@H]1C[C@@H]2CNS(=O)(=O)C1=CC=C(OC)C=C1,0.9854060411453248,391.54,1.25,1,5,8,61.88,True,True,1
10,CNP0465014.1,COC1=CC=C(S(=O)(=O)NC[C@H]2C[C@@H]3CC[N@@]2C[C@@H]3CN(C)CCN(C)C)C=C1,0.9852104783058168,424.61,1.18,1,6,10,65.12,True,True,1
